event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
SRI6548,"01 January 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Sri Lanka)","Tamil Ethnic Group (Sri Lanka)",6,,,0,60,,144,"South Asia","Sri Lanka",Northern,Vavuniya,,Vavuniya,8.7514,80.4971,1,Virakesari,National,"On 1 January 2023, Tamil relatives of the disappeared staged a protest in front of the Road Development Authority building in Vavuniya town (Northern), demanding justice for their disappeared family members.",0,"crowd size=no report",1680035158
SRI6584,"01 January 2023",2023,1,"Political violence",Riots,"Mob violence","Rioters (Sri Lanka)",,5,"Civilians (Sri Lanka)","Health Workers (Sri Lanka)",7,57,"Civilian targeting",144,"South Asia","Sri Lanka",Uva,Badulla,,Badulla,6.9895,81.0557,1,Thinakkural,National,"On 1 January 2023, a group of people attacked a doctor at the General hospital in Badulla town (Badulla, Uva) after being informed that the doctor could not save the 18-year-old girl, who was taken to the hospital too late.",0,"crowd size=no report",1680035158
SRI6544,"31 December 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Sri Lanka)",,6,,,0,60,,144,"South Asia","Sri Lanka",Northern,Kilinochchi,,Poonakari,9.5052,80.2148,2,Virakesari,National,"On 31 December 2022, people staged a protest march from the market in Mutkomban to Maha Vidyalaya junction in Mutkomban in Poonakari area (Kilinochchi town, Northern), demanding to control the illegal production and drug production in Mutkomban area and to set up a police guard in the said area.",0,"crowd size=no report",1680035158
SRI6543,"30 December 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Sri Lanka)","Hindu Group (Sri Lanka)",6,,,0,60,,144,"South Asia","Sri Lanka",Northern,Jaffna,,Jaffna,9.6685,80.0074,1,Virakesari,National,"On 30 December 2022, a Hindu religious group protested in front of the District Secretariat building in Jaffna town (Northern) against the appointment of the new governor who has a religion conversion policy.",0,"crowd size=no report",1680035158
SRI6547,"30 December 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Sri Lanka)","Government of Sri Lanka (2019-)",6,,,0,60,,144,"South Asia","Sri Lanka",Northern,Jaffna,,Tellippalai,9.7875,80.0304,1,"Tamil Guardian; Virakesari",National-International,"On 30 December 2022, the Grama Niladhari officers (Village Officers) of Divisional Secretariat protested in front of the Divisional Secretariat building in Tellippalai town (Jaffna, Northern) against the police, saying that the police have not taken any action regarding the fire incident at the J/239 Division Katuvan West Grama Niladhari office.",0,"crowd size=no report",1680035158
SRI6555,"30 December 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Sri Lanka)","Fishers (Sri Lanka)",6,,,0,60,,144,"South Asia","Sri Lanka",Northern,Jaffna,,Jaffna,9.6685,80.0074,1,Virakesari,National,"On 30 December 2022, fishers participated in the protest rally from Jaffna fort to the bus stand in Jaffna town (Northern), demanding the establishment of sea cucumber farms.",0,"crowd size=no report",1680035158
SRI6557,"30 December 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Sri Lanka)","Tamil Ethnic Group (Sri Lanka)",6,,,0,60,,144,"South Asia","Sri Lanka",Northern,Vavuniya,,Vavuniya,8.7514,80.4971,1,"Tamil Guardian; Virakesari",National-International,"On 30 December 2022, Tamil relatives of the missing persons staged a protest in front of the old bus stand in Vavuniya town (Northern), demanding international justice for their disappeared family members.",0,"crowd size=no report",1680035158
SRI6551,"30 December 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Sri Lanka)","Women (Sri Lanka)",6,,,0,60,,144,"South Asia","Sri Lanka",Northern,Kilinochchi,,Kilinochchi,9.3961,80.3982,1,Virakesari,National,"On 30 December 2022, women, civil society organizations and civil activists protested in front of the old District Secretariat building in Kilinochchi town (Northern) to condemn the vandalism of the office of the Women's Right to Life Association in Thondaman Nagar area in Kilinochchi.",0,"crowd size=no report",1707858547
SRI6562,"28 December 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Sri Lanka)","Government of Sri Lanka (2019-); Labor Group (Sri Lanka)",6,,,0,60,,144,"South Asia","Sri Lanka",Western,Colombo,,"Battaramulla South",6.8964,79.9181,1,"Daily Mirror (Sri Lanka); Lankadeepa",National,"On 28 December 2022, artists, cultural development assistants, development officers and employees of the Department of Cultural Affairs staged a protest outside the premises of the Department of Cultural Affairs in Sethsiripaya locality in Battaramulla South town (Colombo, Western) against the move to abolish the post of Cultural Officer.",0,"crowd size=no report",1714518558
SRI6535,"27 December 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Sri Lanka)","Tamil Ethnic Group (Sri Lanka); TNPF: Tamil National People's Front; Government of Sri Lanka (2019-)",6,,,0,60,,144,"South Asia","Sri Lanka",Northern,Mullaitivu,,Keppapularu,9.2754,80.7553,1,"Morning (Sri Lanka); Tamil Guardian; Virakesari",National-International,"On 27 December 2022, Tamil residents of Keppapularu, a member of the parliament from Tamil National People's Front and a Pradeshiya Sabha member staged a protest in front of the main gate of the military camp in Keppapularu town (Mullaitivu, Northern), demanding the release of the land occupied by the army.",0,"crowd size=no report",1680035158
